lastname,firstname,residentID,programID,name
Gonzalez,Oakleigh,71173182,FMD,Family Medicine
Hendrix,Sylvie,81126612,IMD,Internal Medicine
Walters,Katalina,57369453,IMD,Internal Medicine
Kirk,Julio,16556277,GSU,General Surgery
Avery,Alana,85329181,XXX,NOT_MATCHED
Dunlap,Jayleen,93423006,FMD,Family Medicine
Roberts,Sincere,65373174,FMD,Family Medicine
Boone,Freya,48268020,FMD,Family Medicine
Marshall,Kimberly,89130312,FMD,Family Medicine
Ware,Zaid,56542023,FMD,Family Medicine
McCoy,Lena,72082514,EMD,Emergency Medicine
Macdonald,Millie,16449767,PDT,Pediatrics
Valencia,Gabriel,84813074,NPA,Neuropathology
Cole,Demetrius,34726412,OTO,Otolaryngology - Head and Neck Surgery
Vang,Casen,58016616,PSU,Plastic Surgery
Burnett,Giuliana,28557741,FMD,Family Medicine
Rice,Keilani,29254048,FMD,Family Medicine
Jimenez,Flora,48038594,FMD,Family Medicine
Shelton,Ty,22520183,ROC,Radiation Oncology
Meadows,Peyton,32268751,PDT,Pediatrics
Banks,Ashlynn,71681126,PMR,Physical Medicine & Rehabilitation
Wiggins,Bennett,51462965,FMD,Family Medicine
Archer,Makenna,80094432,FMD,Family Medicine
Luna,Duke,41509456,IMD,Internal Medicine
Patel,Dallas,43000507,FMD,Family Medicine
Daniel,Michael,45367960,XXX,NOT_MATCHED
Castillo,Sylas,91989332,OBG,Obstetrics and Gynecology
Hester,Jase,71492723,FMD,Family Medicine
Finley,Bodhi,10969236,PSY,Psychiatry
McKay,Alfredo,10297514,ANT,Anesthesiology
Moran,Paislee,12443781,XXX,NOT_MATCHED
Ramirez,Reuben,90883408,XXX,NOT_MATCHED
Macdonald,Clay,84575537,FMD,Family Medicine
Schroeder,Collin,12853496,FMD,Family Medicine
Schneider,Romina,22618468,ROC,Radiation Oncology
Sawyer,Audrey,21209468,XXX,NOT_MATCHED
Rodgers,Kaydence,85828959,FMD,Family Medicine
Oliver,Jayceon,96364027,XXX,NOT_MATCHED
Rasmussen,Margaret,82314413,ANT,Anesthesiology
Nolan,Dulce,52446057,FMD,Family Medicine
Davenport,Tanner,78144760,PMR,Physical Medicine & Rehabilitation
Cortes,Carl,25633239,IMD,Internal Medicine
Castaneda,Derrick,57410364,IMD,Internal Medicine
Sutton,Bryson,73327631,FMD,Family Medicine
Robertson,Emery,97125784,PSY,Psychiatry
Day,Kyler,67003309,FMD,Family Medicine
Reese,Jensen,55198482,FMD,Family Medicine
Mahoney,Tristan,86041976,FMD,Family Medicine
Hayes,Athena,84559187,XXX,NOT_MATCHED
Middleton,Finnley,32506284,OBG,Obstetrics and Gynecology
Harding,Daxton,16556193,IMD,Internal Medicine
Serrano,Mason,87237998,XXX,NOT_MATCHED
Massey,Remington,28123634,FMD,Family Medicine
Barker,Margot,35447420,FMD,Family Medicine
Curry,Zachariah,56967943,FMD,Family Medicine
Wilson,Tyson,32571794,IMD,Internal Medicine
Foster,Kensley,29172185,FMD,Family Medicine
Fowler,Marleigh,58754021,PSY,Psychiatry
Tanner,Ryker,64152500,FMD,Family Medicine
Garza,Zain,83395729,PDT,Pediatrics
Mora,Muhammad,75621613,FMD,Family Medicine
Holmes,Liberty,70796373,IMD,Internal Medicine
Mullen,Augustus,27705814,IMD,Internal Medicine
Cannon,Elora,55976742,PDT,Pediatrics
Martin,Lyra,89449765,FMD,Family Medicine
Fry,Destiny,83387530,CSU,Cardiac Surgery
Hudson,Ocean,19857757,IMD,Internal Medicine
Goodman,Trinity,23789848,OBG,Obstetrics and Gynecology
Hendricks,Saige,47137467,ANT,Anesthesiology
Davidson,Noelle,36766281,ORS,Orthopedic Surgery
Weiss,Daxton,34022010,DRA,Diagnostic Radiology
Horton,Aydin,86361434,NRO,Neurology
Austin,Riley,83297399,OPH,Ophthalmology
Walter,Reese,32735602,XXX,NOT_MATCHED
Benson,Amirah,93848859,FMD,Family Medicine
Jaramillo,Marlon,10346526,ORS,Orthopedic Surgery
Blevins,Penny,81192018,FMD,Family Medicine
Everett,Mario,47243861,OBG,Obstetrics and Gynecology
Underwood,Jaylen,94577961,PSY,Psychiatry
Weber,Daphne,64734037,XXX,NOT_MATCHED
Herrera,Bronson,97879386,FMD,Family Medicine
Smith,Adelina,80266311,FMD,Family Medicine
Lim,Wayne,87352740,FMD,Family Medicine
Kent,Owen,85468557,FMD,Family Medicine
Shaffer,Irene,81060930,FMD,Family Medicine
Frank,Saul,56976377,DMT,Dermatology
Saunders,Gregory,14008395,IMD,Internal Medicine
Jensen,Briar,30851446,IMD,Internal Medicine
Harris,Raelynn,49439314,FMD,Family Medicine
Swanson,Clare,67347623,ORS,Orthopedic Surgery
Gallegos,Shepherd,27296005,IMD,Internal Medicine
Patton,Jimmy,90842563,XXX,NOT_MATCHED
Fernandez,Zane,50348971,XXX,NOT_MATCHED
Duran,Jair,30851450,FMD,Family Medicine
Rosas,River,23888320,DMT,Dermatology
Foley,Luis,46588520,DMP,Diagnostic and Molecular Pathology
Alexander,Cash,79619086,PSY,Psychiatry
Watkins,Rosie,34595518,FMD,Family Medicine
Huang,Wyatt,43950637,IMD,Internal Medicine
Suarez,Leland,54166412,GSU,General Surgery
Leblanc,Curtis,30900591,PDT,Pediatrics
Cherry,Jazmine,34701992,XXX,NOT_MATCHED
Knight,Noemi,97232246,IMD,Internal Medicine
Webb,Lyric,68805798,FMD,Family Medicine
Chan,Alistair,19554793,FMD,Family Medicine
